Year,Region,Round,Game,Team_A_Seed,Team_A,Team_A_Score,Team_B_Seed,Team_B,Team_B_Score,Winner,Location
2005,Syracuse,1,1,1,UNC,96,16,Oakland,68,1.0,"at Charlotte, NC"
2005,Syracuse,1,2,8,Minnesota,53,9,Iowa State,64,0.0,"at Charlotte, NC"
2005,Syracuse,1,3,5,Villanova,55,12,New Mexico,47,1.0,"at Nashville, TN"
2005,Syracuse,1,4,4,Florida,67,13,Ohio,62,1.0,"at Nashville, TN"
2005,Syracuse,1,5,6,Wisconsin,57,11,Northern Iowa,52,1.0,"at Oklahoma City, OK"
2005,Syracuse,1,6,3,Kansas,63,14,Bucknell,64,0.0,"at Oklahoma City, OK"
2005,Syracuse,1,7,7,Charlotte,63,10,NC State,75,0.0,"at Worcester, MA"
2005,Syracuse,1,8,2,UConn,77,15,UCF,71,1.0,"at Worcester, MA"
2005,Syracuse,2,1,1,UNC,92,9,Iowa State,65,1.0,"at Charlotte, NC"
2005,Syracuse,2,2,5,Villanova,76,4,Florida,65,1.0,"at Nashville, TN"
2005,Syracuse,2,3,6,Wisconsin,71,14,Bucknell,62,1.0,"at Oklahoma City, OK"
2005,Syracuse,2,4,10,NC State,65,2,UConn,62,1.0,"at Worcester, MA"
2005,Syracuse,3,1,1,UNC,67,5,Villanova,66,1.0,"at Syracuse, NY"
2005,Syracuse,3,2,6,Wisconsin,65,10,NC State,56,1.0,"at Syracuse, NY"
2005,Syracuse,4,1,1,UNC,88,6,Wisconsin,82,1.0,"at Syracuse, NY"
2005,National,1,1,1,UNC,87,5,Michigan State,71,1.0,"at St. Louis, MO"
2005,National,1,2,4,Louisville,57,1,Illinois,72,0.0,"at St. Louis, MO"
2005,National,2,1,1,UNC,75,1,Illinois,70,1.0,"at St. Louis, MO"
2006,Atlanta,1,1,1,Duke,70,16,Southern,54,1.0,"at Greensboro, NC"
2006,Atlanta,1,2,8,George Washington,88,9,UNC Wilmington,85,1.0,"at Greensboro, NC"
2006,Atlanta,1,3,5,Syracuse,58,12,Texas A&M,66,0.0,"at Jacksonville, FL"
2006,Atlanta,1,4,4,LSU,80,13,Iona,64,1.0,"at Jacksonville, FL"
